regular penicillin prophylaxis	prevent	pneumococcal septicaemia and death	3
meningitis	be associate with	bacterial infection	4
physical examination	reveal	final diagnosis	1
postmortem examination	also have	spontaneous pleural fluid infection	4
to <NUM> million people	be at	risk	1
this group	have	permanent blindness	5
minimal physical exercise	exacerbated	fatigue	2
source of pain	exacerbate	pain	1
ganciclovir-phosphorylating enzyme	be delete by	mutation	1
residual volume	transfer	factor	3
disadvantage of allograft use	be	its early rejection	2
cardiopulmonary bypass	be perform in	one patient	2
diagnosis	have	abnormal dental development	2
treatment course	set forth in	this article	4
patient	suffer	supracondylar femur fracture	4
<NUM> years of age	have	more functional impairment	2
mohs micrographic surgery	be perform under	local anesthesia	2
intracranial hypertension	be important in	pathogenesis of cerebral malaria	3
atelectasis and pneumonia	occur with	greatest frequency	2
pathologically detectable prostate cancer	will never have	clinical disease	1
human liver	adipose	tissue	2
proliferative diabetic retinopathy	be analyze use	peroxidase-antiperoxidase method	2
these kinds of inflammation	occur follow	filtering surgery	3
renal biopsy	may establish	diagnosis	1
this type	be diagnose as	secondary membranous glomerulonephritis	2
chronologic age	reveal	stepwise increase	4
patient	be schedule for	extensive surgery	3
weight reduction	generally lower	blood pressure	2
prospective studies of fatigue	occur follow	infection	2
one patient	have	systemic lupus erythematosus	6
hematologic disease	be diagnose during	pregnancy	7
poor survival	be	serum creatinine level	3
<NUM> years of age	be determine by	computerized planimetric analysis	2
one patient	have	crohn 's disease	4
corticosteroid therapy	be treat with	cyclosporine	4
atrioventricular block	require	pacemaker insertion	4
acu-es group	receive	electrical stimulation	1
one patient	lose	bone	4
graft-versus-host disease	be treat by	immunosuppression	3
dietary omega-6 fat	would reduce	mortality	2
myocardial infarction	improve	survival	2
two-month period	be recruit for	study	2
later (6-month ) survival	be correlate with	age	1
one patient	remains on	study	2
study	sustained	significant thoracic trauma	2
one patient	be exclude from	study	1
articular disease	tend to have	more progressive hiv infection	4
this study	ask whether	helicobactor pylori infection	3
tumor	be independent of	tumor size	2
fiber area	be find in	either group	1
`` long-acting '' corticosteroid	follow prospectively over	4-year period	2
soft tissue and bone	be calculate use	area	2
transesophageal echocardiography	be superior to	transthoracic echocardiography	1
actuarial analysis	show	<NUM> % survival	2
depth of invasion	be limited to	head	3
one death	occur during	intraoperative period	2
emotional stress	may induce	myocardial ischemia	2
active inflammatory bowel disease	be treat with	high-dose prednisone	4
median 5-year survival	trade off be	<NUM> % ( range	1
irradiated tissue	develop	hypovascular-hypocellular-hypoxic tissue	2
treatment of hypertension	be begin at	<NUM> months of age	3
cytomegalovirus retinopathy	be	only disorder	3
initial gabhs t type	persist	( treatment failure	2
hepatic blood flow	decrease during	late phase of sepsis	4
tumor shrinkage	occur to	similar extent	4
one patient	sustained	myocardial infarction	2
adult soft tissue sarcoma	predict	long-term survival	2
treatment of hypertension	be associate with	threefold increase	1
spinal injury	occur at	t-12 level	3
50-minute reperfusion period	be perform in	each study	2
this patient	be	evidence	2
this group cytology	be inadequate for	diagnosis	1
acid-peptic disease	present with	non-cardiac chest pain	2
botulinum toxin	percutaneously inject into	thyroarytenoid muscle	2
occlusion	occur only in	branch	2
people	may present as	pneumonitis	3
myocardial infarction	be due in	part	1
only one patient	have	perioperative myocardial infarction	2
chromosome number	be in	diploid range	2
better predictor of disability	be	myocardial infarction	1
thrombocytopenia	resolve spontaneously follow	discontinuation of cimetidine	3
head pain	be secondary to	pain	2
chronic renal failure	be independent of	age	2
tumor-associated malnutrition	can explain to	large extent	3
drug use	comprise	final group	2
systemic hypertension	need	further study	1
interstitial pneumonia	occur in	patient	4
plasma anp level	be increase by	exercise	1
results of histopathologic examination	show	retinal necrosis	3
medication	may show	no ischemia	2
patient	be treat with	prednisone	2
adult t-cell leukemia	have lead to	acute pancreatitis	3
coronary artery	bypass	patient	5
whipple 's disease	be	uncommon disorder	2
cystic fibrosis	do not constitute	additional risk	3
radiotherapy developed recurrent disease	be treat by	radical surgery	2
atraumatic subdural hematoma	be treat for	congestive heart failure	3
adenosine	be greater after	ischemia	1
cisplatin-based chemotherapy	seem to improve	survival	4
patient	have	abscess	2
diabetes	clearly confer	substantially increased risk	2
exclusion of a patient	progress to	pneumocystis carinii pneumonia	2
their suprailiac-thigh skin	fold	ratio	1
apnoea and hypoxaemia	may reduce	oxygen delivery	1
asthma	elevated	serum	1
amyloid peripheral neuropathy	show regression of	their disease	2
this small study	provide	evidence	1
patient	have	epigastric pain	2
myocardial infarction	occur in	<NUM> patient	2
one patient	bleed into	tumor	1
pain	will experience	less pain	2
protein-energy malnutrition	induce	immunosuppression	1
antacid consumption	be higher in	placebo group	2
only one patient	have	neuropsychologic impairment	3
only predisposing factor	be advance	age	2
hiv-1 infection	constitutively release	tnf alpha	2
relatively uncommon <NUM> osteomyelitis	be	important disease	2
presumed disseminated candida infection	may reduce	morbidity	3
tissue	be	cost	1
this study	experienced delay	visual loss	2
drug exposure	have	more benign illness	2
hypertension	be characterize by	insulin resistance	3
pl group	related to	surgery	3
neutron group	develop	necrosis	3
neutropenia	have	recurrent fever	4
less prior coronary artery	bypass	graft surgery	1
observation of histopathologic evidence	suggestive of	hpv infection	2
peripheral nerve impairment	show	slight further progression	2
burn injury	have	significantly higher mortality rate	2
patient	develop	vasodilation and hypotension	3
bone	present with	acute respiratory failure	5
pericardial rupture	be associate with	high mortality	2
primary lymphoma	have have	recurrent disease	2
one patient	show	no reaction	3
level of increase	be unrelated to	subsequent rate of peritonitis	2
progression	reduce	mortality	1
group	have	any vomiting	3
one patient	develop	mild acute pancreatitis	2
portal hypertension	be	dominant factor	2
one patient	have	brain abscess	4
lung cancer	be to stop	smoking	2
pregnancy	advance during	period	1
ultrasonography	do not undergo	surgery	2
patient	come off	cardiopulmonary bypass	3
cluster headache	be provoke by	pain	1
dementia	be	disorder	1
elevated platelet cytosolic calcium	observe in	essential hypertension	1
sucralfate	elicit	<NUM> % increase	1
infection	induce	macrophage	1
fourth group	drink	juice	2
detailed radiologic examination	be useful in	assessment of infection	4
mitral valve area	derive from	doppler echocardiography	2
dependence	would result in	accurate diagnosis	2
postsurgical patient	will not develop	meningitis	2
leukocyte infiltration	be responsible for	inflammatory reaction	3
wilson 's disease	may present with	severe acute hepatocellular failure	3
diagnosis	be make by	open lung biopsy	3
no patient	develop	infection	3
tibiotalar fusion	include	pain	2
most recent follow-up examination	be	<NUM> points ( range	4
this article	discuss	differential diagnosis of headache	5
lymphatic cancer mortality rate	do	comparison group	4
febrile seizure	occur at	earlier age	1
significant leakage	be detect by	measurement	1
pain	decrease to	<NUM> or <NUM> level	3
patient	eventually die of	respiratory failure	3
only one patient	react to	mercury	3
aortic angiography	reveal	complete abdominal aortic occlusion	2
endomyocardial biopsy	be use after	<NUM> months of age	2
placebo group	experienced	rotavirus diarrhea	2
proximal area	correspond to	region	2
lymphocytic interstitial pneumonia	be at	present a pathologic diagnosis	3
severe idiopathic scoliosis	may lead to	respiratory failure	2
choice of a drug	penetrate	tissue	1
hiv infection	sometimes develop	aggressive psoriasis	2
<NUM> % bovine serum	prohibit	this reaction	1
doxycycline prophylaxis	increase	diarrheal disease	3
our study	have provide	baseline assessment	3
prolonged dialysis or death	include	young age	1
severe rejection	be see in	one patient	3
esophageal oat cell carcinoma	be	systemic disease	2
laxative use	be frequent in	fibromyalgia group	4
lymph node biopsy	reveal area with	frank cellular necrosis	3
this study	compare estimate of	alcohol consumption	2
coughing patient	be base in	part	2
plasma free t3 level	fall significantly during	ischemic period	2
cardiopulmonary bypass	lead to	reduction	1
severe pain	may be of	extended duration	2
increased ischemic injury	decrease	hypoxic injury	2
heat stroke	be	true medical emergency	2
date	have use	penicillin	4
ct	depict	tumor	1
mean s/n ratio	be	<NUM> ( range	1
delivery	be at	risk	2
two-dimensional echocardiography	pulsed	doppler ultrasound	2
acute myocardial infarction	require	temporary pacemaker	3
increasing suprailiac to-thigh skin	fold	thickness ratio	2
disorder	produce	considerable morbidity and mortality	6
higher tumor	do have	extracapsular disease	3
baseline	be evident in	neutropenic group	2
patient	remains well without	further evidence of pneumothorax	4
multipoint linkage analysis	place	mutation	1
new urethral stent	develop for	use	2
carcinoma of the prostate	lie in	low morbidity	1
etiology of heart failure	be	coronary artery disease	2
respiratory syncytial virus infection	have	fever <NUM> cough	4
chemotherapy	have	worst survival	2
dependence	develop commonly in	benzodiazepine use	2
plasmapheresis	develop	progressive renal impairment	4
this tumor	originate from	masseteric nerve	2
area	include only	tumor	1
active anterior uveitis	have	active eye disease	2
aztreonam group	be	clinical failure	3
nosocomial pneumonia	be associate with	high mortality	1
vincristine	bleomycin	( macop-b) chemotherapy	2
kawasaki disease	be examine by	cross sectional echocardiography	4
aerosolized histamine	be measure before	infection	1
enzyme-linked immunosorbent assay test	be positive in	serum	2
end-stage renal failure	be of	low frequency	3
one death	occur in	patient	1
this study	explore	additional method	2
aluminum intoxication	agree to have	bone biopsy	3
surgery	might minimize	this risk	3
ii breast cancer	receive	radiation	3
another patient	show	tumor progression	2
control group	be evaluate with	coronary angiography	2
epidermal growth factor receptor	may serve as	target antigen	2
dementia	reduce	survival	1
intrarenal abscess	be diagnose by	ultrasound	1
granulocytic sarcoma	be	extramedullary tumor	4
conduction block	left	atrial reentry	2
any evidence of scoliosis	be exclude from	study	1
postoperative myocardial ischemia	be associate with	2.8-fold increase	2
each patient	cope effectively with	illness	3
breast conservation surgery	have	less psychiatric morbidity	3
resistant hypertension	have	more severe hypertension	2
one patient	have	moderate pain	2
w256 cell-mediated endothelial injury	be dependent on	adhesion	1
disease	be study with	use of doppler echocardiography	2
third patient	have	acute anteroseptal myocardial infarction	3
stage of sexual development	be associate with	presence	1
endothelium	may contribute to	vascular occlusion	2
this study	provide	first direct evidence	2
some patients headache	disappear while	regional cerebral blood flow	1
node-negative breast cancer	receive	adjuvant chemotherapy	1
patient	involve	low morbidity	2
immediate and delayed morbidity	be greater after	limb-salvage surgery	2
blood pressure	be associate with	pretreatment hematocrit level	4
bone marrow aspiration	support	diagnosis	4
perinephritic hypertension	be associate with	<NUM> % increase	2
lymphocyte p24-fca determination	may provide	method	1
significantly poorer survival	be	visceral-dominant disease	2
previously documented heart disease	be admit for	elective diagnostic coronary angiography	3
this diagnosis	be suspect in	patient	2
chronic renal failure	be associate with	amyloidosis	3
normal physiology of pregnancy	set	stage	2
tumor dose	closely follow	administered dose	2
each neonate	be match on	gestational age	3
geographic area	perform	cardiac surgery	1
preoperative chemotherapy	show	<NUM> % 5-year survival	1
patient	have	intraabdominal bleeding	2
cyclosporine and methotrexate	be use for	prophylaxis	2
non-pheochromocytoma illness	flank	pain	1
stress hyperglycemia	have increase	mortality	4
purpose of this study	be to describe	pesticide exposure	2
surgery	be less than	increase	1
kidney volume	be measure by	ultrasonography	2
purpose of this study	be to investigate	disability	1
virus infection	be associate with	parental smoking	4
complex actions of sucralfate	be in	part	1
group b streptococcus	progress in	postpartum period	3
granulocytopenic patient	experienced	rapidly progressive left-sided pneumonia	4
their mean age	do not have	fracture	3
direct spinal nerve stimulation	be recognize as	objective and sensitive test	2
pps group	be more than	control group	1
one subject	have	persistent headache and nausea	2
laboratory assessment	can point to	diagnosis	2
type vii collagen	be	collagen	2
polyunsaturated vegetable oils	promote	cancer	1
surgery	be at	high risk	2
aneurysmal disease	be accompany by	increase	1
blastocystis hominis infection	be identify	electron	3
one patient	receive	retreatment chemotherapy	2
follow-up group	be free of	recurrent biliary tract disease	2
development of recurrent disease	log	rank test	2
graft surgery	improve	survival	2
b-cll serum	contain	factor	1
double-blind controlled study	be perform on	patient	2
disorder	impart	significant morbidity and mortality	1
cirrhosis of the liver	be at	substantial risk	3
healing of the fracture	be	five months ( range	3
no invasion	be find at	surgery	2
breast cancer	advance	disease	1
one patient	have	endometrial carcinoma	1
defective migration	be not	initiating factor	2
one patient	have	stent	2
heart failure	continue to receive	cardiovascular therapy ( angiotensin	2
progression of disease	depend in	part	1
level of invasion	be predictive for	second cancer	2
admission and surgery	do not influence	chances of survival	4
mortality	be associate with	anticipated death	2
maternal infection	predict	neonatal infection	4
lung cancer	be indicative of	rapid tumor progression	2
<NUM> gm/kg dose	have	faster resolution of fever	3
smoking	be	risk factor	1
family history of diabetes	be associate with	more marked increase	2
adequate tissue	proceed with	preoperative chemotherapy	1
one patient	have	multivessel disease	2
follow-up diagnosis	differ from	original diagnosis	2
hansson pin group	have significantly	more pain	3
inflammation	resolve rapidly after	adult infection	2
patient	be on	therapeutic immunosuppression	2
well-vascularized soft tissue	result in	increased acute inflammation	3
postmortem examination	reveal	cerebral edema	3
final group	receive treatment during	entire 21-day study	3
human disease	be due to	inflammation	1
current evidence	be consistent with	alteration	2
blood loss	measure at	surgery	1
one catheterization study	report	50-fold greater risk	2
obese patient	impose	additional risk	2
immediate diagnosis	have lead to	method	2
q-wave group	be study by	angiography	1
anastomosis leakage	still cause	considerable morbidity and mortality	1
this tumor	have	schwann 's cell differentiation	2
external iliac artery	appear to be	limiting factor	2
neurologic impairment	be applicable to	systemic disease	2
extensive lung injury	accompany	pneumocystis-associated respiratory failure	3
average age	be	<NUM> years ( range	2
patient	later develop	lymphoblastic lymphoma	4
contribution of chemotherapy	improve	survival	1
ct	have become	frequently used imaging method	2
frequently pancreatic necrosis	develop in	acute pancreatitis	3
vascular invasion	be present in	only one patient	3
only pathologic examination	can enable	definitive diagnosis	2
donor type	slowly provide	further evidence	2
one treadmill test	be obtain from	each patient	1
intravenous nitroglycerin	be administer before	induction of general anesthesia	2
levels of quinolinic acid	be elevated in	cerebrospinal fluid	5
iron	also decrease	risk	2
partner behavior	may increase	risk	1
carcinoma	be include in	study	3
li increase	predominantly result from	increase	3
patient	die during	surgery	2
chronic diarrhea	fail to provide	diagnosis	1
liver biopsy	will demonstrate	significant disease	4
skeletal muscle	strongly express in	brain	1
cmv disease	be rare after	primary infection	4
parental myocardial infarction	be associate with	higher plasma cholesterol	4
bone scan	be abnormal in	one patient	1
hyperparathyroidism	be	surgery	1
mutation	may result from	exposure	2
cirrhosis	demonstrate	insulin resistance	1
impaired visual acuity	be associate with	dementia	2
type <NUM> diabetes	have	retinopathy	3
patient	have recently sustained	head injury	2
only one graft occlusion	occur in	postoperative period	3
one patient	have	heterotopic columnar epithelium	2
advanced patellofemoral disease	be include in	study	2
tgc ) mutation	be detect in	late-infantile/juvenile patient	2
dyspnea	seem disproportionate to	severity of myocardial ischemia	2
pregnancy	may reduce	preterm delivery	1
hepatic disease	develop gradually with	age	3
patient	present with	normal erythrocyte sedimentation rate	3
retroperitoneal lymph node	either repeat	aspiration	2
pelvic irradiation	would improve	survival	1
kaposi 's sarcoma	occur in	head and neck region	3
no patient	have undergo	previous spinal surgery	2
radiation	be combine with	ia cisplatin	2
neurogenic inflammation	be evoke by	intravenous injection of capsaicin	2
baseline	increase	risk	2
localized disease	exhibit	wide patient	2
risk	be find for	coronary artery disease	4
lower pcr/pi ratio	do	control group	2
h. pylori infection	be associate with	significant reduction	2
severe coronary artery disease	undergo	urgent noncardiac surgery	2
complications of malaria	may lead to	death	1
no patient	have	either obvious skin infection	2
no patient	have	symptomatic heart disease	3
36-year-old patient	have	systemic lupus erythematosus	3
b/b rat	have	hypomegakaryocytic thrombocytopenia	2
patient	probably cause	urticarial reaction	2
tumor	do not show	pericapsular tumor	2
low density lipoprotein cholesterol	also increase in	this group	1
massive orbital infiltration	produce	bilateral blindness	5
protective effect of pregnancy	be independent of	oc use	2
this study	provide evidence for	increase	1
infarct size	require	further study	1
early-stage breast carcinoma	be at	risk	1
coronary artery	bypass	graft surgery	23
departure area	have decrease in	size	2
one patient	show	restenosis	1
acute vascular occlusion	be associate with	acceptable morbidity	2
goal of this study	be to describe	patient	1
<NUM> months of age	be at increase	risk	1
nonfungal infection	may also be	factor	2
region	be over	<NUM> years of age	1
ultrasonography	confirm	diagnosis	4
no patient	have have	such a test	2
patient	be	<NUM> months of age	3
underlying disease	be	atherosclerosis	3
high nacl diet	can cause	premature mortality	2
patient	have	high-output heart failure	2
captopril group	demonstrate increase in	segment length	2
clinical manifestations of endocarditis	include	fever	2
complications of rupture	include	one neonatal death	3
essential hypertension	complain of	cough	2
patient	survive	this serious infection	3
one patient	develop	pneumonia	3
ct	do not have	mediastinal invasion	2
duration of disease	serve as	control group	1
one patient	die from	sepsis	1
hiv-1 infection	be diagnose in	one patient	1
usual method	use to study	ischemic acute renal failure	4
clinical urinary tract infection	be associate with	positive acb test	5
risk of back pain	do	young age	1
injury	may have altered	course	4
aspirin	prevent	myocardial infarction	1
hyperglycemia	inhibit	their proliferation	2
pathologic examination	show	no residual carcinoma	2
one patient	sustained	unilateral blindness	4
diagnosis	be establish by	angiography	2
aneurysmal disease	may progress from	occlusive disease	1
no patient	die of	gram-positive infection	4
dose range	do not affect	systemic blood pressure	2
this patient	have experienced	delayed transfusion reaction	3
liver	be excise for	analysis	2
early diagnosis	be to include	ectopic pregnancy	1
bradykinin	be generate in	thermal injury	4
level	find in	control group	2
date	have clearly related	area	1
chronic arthritis	sustained	slight arthralgia	3
soft-tissue calcification	be common in	collagen vascular disease	4
each treatment group	be compare with	its own control group	2
affected survival	include	neck stage	2
ipsilateral reexpansion pulmonary edema	also affect	contralateral lung	2
neonatal patient	trigger	ventilation	3
our patient	remain	disease	3
transrectal ultrasound	will interface with	digital rectal examination	2
idiopathic sclerosing peritonitis	be	rare disease	2
lung cancer	show decrease	risk	1
high density lipoprotein cholesterol	increase significantly with	duration	3
inactive proliferative diabetic retinopathy	receive	extracapsular cataract extraction	3
sinusitis	decrease	visual acuity	4
squamous cell carcinoma	be	leading tumor type	2
benefit of clofibric acid	be evaluate in	double-blind study	2
patient	have	persistent unilateral headache	2
fungal metabolite	can cause	death or illness	2
patient	subsequently require	skin	2
intermittent ischemia	potentiate	intestinal reperfusion injury	2
stress	may markedly increase	blood pressure	1
parental history of obesity	be related to	less favorable age	4
this article	stimulate	pediatrician	4
invasive disease	mean	age	2
baseline	mean	total kidney volume	3
breast cancer	should receive	adjuvant chemotherapy	1
patient	have	small cell lung cancer	4
patient	have sustained	breakdown of scar tissue	3
first patient	have	hypersensitivity pneumonitis	3
toxin	predispose	muscle	3
referred pain	be common in	orofacial region	2
myocardial infarction	program	ventricular stimulation	2
gestational diabetes	identify woman at	risk	2
placement	be	restenosis	2
smoking	mean allergen	weal area	2
this group	experienced	late infection or amputation	3
heterotopic tissue	be mistaken for	metastatic disease	3
resulting pneumonitis	further increase	mortality	2
predictors of in-hospital mortality	include increase	age	2
blood pressure reduction	may account for	beneficial action of nicardipine	2
undetected fatal acute pancreatitis	be	disease	2
blunt chest trauma	be not at	risk	2
short-term study	have relief of	pain	2
ethanol feeding	cause	initial net loss	3
renal biopsy	show	diffuse crescentic glomerulonephritis	4
injured group	be in	distinct negative body	2
hiv infection	have	significantly lower atp/pi ratio	2
crohn 's disease	be refer for	surgery	1
progressive multiorgan involvement	appear in	course of the disease	2
phd test	be perform at	diagnosis	2
increased csf neopterin	be associate with	hiv-associated neurologic disease	2
transcranial doppler ultrasound	provide	reliable immediate assessment	2
blood pressure	require	further study	2
patient	develop	sebaceous carcinoma	3
group	have	valproic acid	1
loop blood flow	return to	baseline	2
one patient	have	hypersensitivity reaction	1
mutation-positive group	come to	surgery	3
ovine placenta	produce	thromboxane and prostacyclin	2
lymphoma	do not alter	survival	4
pentamidine prophylaxis	have	recurrent p carinii infection	3
treatment of hypertension	may also benefit	diabetes	2
complete eradication of infection	eventually result in	maternal death	4
sublingual nifedipine	lower	diastolic blood pressure	2
duodenal obstruction	manifest mostly as	gastric outlet obstruction	2
hyaline membrane disease	require	ventilation	1
free cytosolic platelet calcium	add	further evidence	2
carotid artery disease	undergo	invasive carotid angiography	2
our method	would permit	such examination	2
surgery	exert	significant increase	1
patient 's serum	exhibit	normal complement activation	2
reduction	be also	only group	3
total and ldl cholesterol	will have	polygenic hypercholesterolemia	2
accumulating pulmonary fibrosis	decrease	lung compliance	4
transvaginal ultrasonography	be	safe and reliable method	1
report of a patient	have	positive exercise test	3
follow-up one patient	have	chronic renal failure	2
thyroid carcinoma	be at	risk	1
prolonged infection	result in	increased immunosuppression	2
group b streptococcus	appear in	synovial fluid	1
major morbidity	be	infection	2
advanced colorectal carcinoma	be enrol in	this study	1
tobit analysis	be introduce as	method	2
documented splenic injury	be examine with	ct	2
one patient	be admit after	his ct	2
history of trauma	be present in	each patient	1
only one patient	be in	subtotal resection group	3
one patient	die of	cancer	3
one patient	be in	chronic renal failure	2
adjuvant chemotherapy	be treat over	42-month period	3
crohn 's disease	develop	acute myelocytic leukemia	2
this patient	be treat in	hospital environment	2
infection	be associate with	dementia	1
rare disorder	carry	significant morbidity and mortality	2
surgery	average	<NUM> months ( range	2
shoulder arthritis	have	bilateral involvement	1
pregnancy	lower	blood pressure	2
microvascular injury	be involve in	pathophysiology of acid-induced esophagitis	2
transient hepatic failure	occur in only	one patient	2
tumor	recur in	retroperitoneum	2
radiography and high-resolution ct	be use for	stepwise discriminant analysis	5
one squamous cell carcinoma	decrease in	size	2
women of child-bearing age	always occur during	pregnancy	2
serum	be expose to	h. pylori antigen	3
ct-guided aspiration	appear to be	safe and reliable method	2
generation of the oncogene	occur within	tumor	1
patient	be eligible for	gastric surgery	3
cirrhotic liver disease	be compare with	<NUM> age	2
his course	be complicate by	five episodes of sepsis	3
no neurological disease	be assess for	visuo-spatial neglect	2
renal tubular injury	be associate with	increase	1
accelerated coronary disease	be	major factor	2
one patient	have	nasopharyngeal stenosis requiring correction	4
prospective study	use	two-dimensional echocardiography	1
case of dermoid tumor	manifest as	umbilical hernia	2
patient	present with	recurrent subacute obstruction	3
this article	emphasize	need	4
spontaneous cycle length	entrain	arrhythmia	2
male gender	be also	risk factor	2
reference group	have left	main coronary artery disease	2
very severe hypertriglyceridemia	have	underlying genetic hyperlipidemia	2
hsd group	have	improved blood pressure	3
diet	influence	risk	1
young patient	present with	stage iii sarcoidosis	4
year period	be analyze for	neurologic deficit risk	3
type iii collagen	exhibit	sparse distribution	2
patient	note	unilateral hearing loss	3
dose	cause	forced expiratory volume	2
minimally effective dose	be titrate for	each patient	2
total haemoglobin	be analogous to	cerebral blood volume	3
risk of breast cancer	may modestly increase	risk	1
host disease	die from	lymphoproliferative disease	2
dynamic exercise	increase	plasma norepinephrine	1
his hospital course	be complicate by	non-q-wave myocardial infarction	3
postoperative chemotherapy	show	<NUM> % 5-year survival	1
no definite diagnosis	be make	ultrasonography	2
monoclonal b-cell proliferation	occur after	ebv infection	3
this cytokine	prove to be	effective hematopoietic growth factor	3
patient	live without	mechanical ventilation	2
fibrin gel	appear protective in	contaminated hepatic injury	3
mechanical ventilation	have	high morbidity and mortality	2
final diagnosis	be	eight months ( range	3
head trauma	be	most common admission diagnosis	2
dipyrone	do not increase	risk	2
abdominal pain	be present in	only one patient	2
arrhythmia	induce at	electrophysiologic study	2
submaximal and peak exercise	significantly predict	mortality	1
untreated group	have	severe thrombocytopenia	3
awareness of hypertension	may increase	blood pressure	1
no pulmonary edema	be see in	this patient	5
exception of one subject	experienced	severe neurological adverse reaction	2
pain	force	patient	1
insulin resistance	observe in	cirrhosis	1
adequate diet	be safe for	patient	1
critically ill patient	be at increase	risk	2
prospective study	be undertake during	pregnancy	2
noncirrhotic liver disease	have	primary liver tumor	3
efficacy of sucralfate	be due to	true reduction	2
chronic stable angina	be convert to	unstable angina	2
hypotension	be associate with	significantly higher mortality rate	2
visuospatial neglect	derive from	failure	1
oxygen consumption	be dependent on	oxygen delivery	3
recombinant human interleukin-1	induce	meningitis	2
partial necrosis	be observe in	only one patient	1
level	predict from	exercise	1
cefpirome plus gentamicin group	demonstrate area of	acute tubular necrosis	3
rupture	can produce	severe abdominal pain	3
microscopic examination	provide	most reliable diagnosis	2
mean follow-up period	be	three years ( range	2
exercise	could produce	st segment depression	1
placebo group	be lower in	vertebrobasilar group	2
exercise stress	be marker of	myocardial ischemia	1
anatomically transmural infarction	be	possible factor	2
insertion	include	urinary frequency	3
purpose of this study	be to evaluate	presence	1
no patient	do	calcitonin level return	2
thrombus accumulation	then result in	significant increase	1
prostaglandin f2 alpha	then contract	circular muscle	2
sympatho-adrenal stimulation	be confirm by	significant increase	1
brain	induce predominantly	acute anorexia	2
patient 's environment	reinforce	illness behavior	2
aim of this study	be to investigate	need	3
precirrhotic stage	can lead to	long-term survival	4
pulmonary hypertension	could increase with	duration of portal hypertension	2
regular aerobic exercise	be associate with	reduction	1
ct	have	positive leukocyte scan	2
bacterial endocarditis	must receive	perioperative antibiotic prophylaxis	3
heart failure	be due to	coronary artery disease	1
pregnancy	be discover during	pregnancy	2
graft-versus-host disease prophylaxis	include	methotrexate	5
neonate	require	serum concentration of phenobarbital	2
open-lung biopsy	exhibit	extensive fibrosis	3
water loss	far exceed	electrolyte loss	2
diagnosis	be confirm by	angiography	2
careful fetal ultrasonography	do not identify	heart	3
tissue and cytologic examination	can lead to	correct diagnosis	1
marked muscle fiber necrosis	indicate	rapid atrophy	4
calcified lymph node	be identify on	ct	2
pre-existing vascular disease	be predispose to	injury	2
gluten-free diet	fail to improve	neurologic disability	3
one patient	have	orthognathic maxillary osteotomy	2
fever <NUM> malaise	be associate with	elevated erythrocyte sedimentation rate	2
ct	should be	initial imaging study	3
study	include document	infection	4
neonatal period	carry	high mortality rate	1
tremor	progress until	patient	1
this region	show	merging of bone	3
diagnosis of cardiac rupture	be make by	two-dimensional echocardiography	3
this age group	be at	particular risk	2
both thyroidectomy and diabetes	be accompany by	reduction	1
average age	be	<NUM> ( range	1
delivery	be enrol in	study	2
this study	be not	uniformly lethal tumor	3
ventricular failure	occur in	patient	2
first insertion	be present in	part	2
aerosol pentamidine prophylaxis	nevertheless develop	p. carinii pneumonia	2
radiation	have	scoliosis	5
lateral-compartment arthritic progression	be evaluate use	kaplan-meier survival method	2
referred pain	be define as	pain	2
pelvic inflammatory disease	be complicate by	tuboovarian abscess	2
recurrent tubal pregnancy	occur in	patient	2
postoperative morbidity	be similar for	each type of bypass	2
<NUM> pm endothelin	be greater in	group	2
ap group	develop	cough	1
diabetes mellitus	be characterize by	increase	2
mother and neonate	tolerate	fentanyl	3
second group	be sensitive to	penicillin	2
hiv infection	be permissive for	infection	2
blood pressure	occur at	similar incidence and extent	4
weight reduction	independently lower	blood pressure	2
interleukin-2-treated group	exhibit	anorexia <NUM> weight loss	6
one patient	develop	streptococcal peritonitis	3
placebo group	complete	three-month study	2
fusion	might prevent	adhesion	1
influenza respiratory infection	predispose to	meningococcal disease	2
cirrhosis	increase further after	propranolol	1
blood pressure	occur in	either group	1
ses-based diet	result in	increase	2
area of sensory loss	show	lymphoma	2
any metallic foreign body	recover from	patient	1
tumor	be	important source tissue	2
infection	can mimic	heart failure	3
last pregnancy	have result in	fetal loss	2
colon	be affect by	granulocytic sarcoma	4
renal biopsy	show	acute glomerulonephritis	2
aqueduct block	prevent most of	post-doca hypertension	2
<NUM> patient	have	peptic ulcer disease	2
subcutaneous tissue	be	macrophage	2
acute myocardial infarction	provide rest for	heart	1
blood pressure	markedly impair	endothelial cell-dependent vascular relaxation	2
bypass	extend from	aorta or iliac artery	2
cyanotic congenital heart disease	survive	neonatal period	3
mean nuclear volume	be determine for	each group	2
hypertension	be associate with	excess mortality	4
injury	be characterize by	weight loss	2
surgery	be	colorectal carcinoma	3
hypertension	have provide	evidence	1
positive bone marrow biopsy	precede	lymph node biopsy	3
this study	provide	further evidence	2
chest pain	have	no such illness	6
pathologic examination	show only	small-cell lung cancer	1
each patient	have undergo	labial salivary gland biopsy	4
all free of stroke	have	angiographic-proven unilateral arterial disease	3
gross residual sarcoma	have die of	local failure	2
death	be	hypotension	5
its presence	do not predict	m. pneumoniae infection	2
insulin-dependent diabetes	be at	increased risk	5
both eventually required amputation	do	one patient	2
